"TIME","pH"
2021-06-15 13:55:00,7.43975
2021-06-15 14:55:00,7.46609
2021-06-15 15:55:00,7.40629
2021-06-15 16:55:00,7.36621
2021-06-15 17:55:00,7.30145
2021-06-15 18:55:00,7.23934
2021-06-15 19:55:00,7.1836
2021-06-15 20:55:00,7.12712
2021-06-15 21:55:00,7.1137
2021-06-15 22:55:00,7.10798
2021-06-15 23:55:00,7.10364
2021-06-16 00:55:00,7.11032
2021-06-16 01:55:00,7.12129
2021-06-16 02:55:00,7.12424
2021-06-16 03:55:00,7.13029
2021-06-16 04:55:00,7.14226
2021-06-16 05:55:00,7.14806
2021-06-16 06:55:00,7.17982
2021-06-16 07:55:00,7.23096
2021-06-16 08:55:00,7.30439
2021-06-16 09:55:00,7.32828
2021-06-16 10:55:00,7.37882
2021-06-16 11:55:00,7.41439
2021-06-16 12:55:00,7.44979
2021-06-16 13:55:00,7.46578
2021-06-16 14:55:00,7.41349
2021-06-16 15:55:00,7.40527
2021-06-16 16:55:00,7.38597
2021-06-16 17:55:00,7.35253
2021-06-16 18:55:00,7.28904
2021-06-16 19:55:00,7.22124
2021-06-16 20:55:00,7.18447
2021-06-16 21:55:00,7.16669
2021-06-16 22:55:00,7.16823
2021-06-16 23:55:00,7.16937
2021-06-17 00:55:00,7.16038
2021-06-17 01:55:00,7.14915
2021-06-17 02:55:00,7.15912
2021-06-17 03:55:00,7.17058
2021-06-17 04:55:00,7.17379
2021-06-17 05:55:00,7.20618
2021-06-17 06:55:00,7.25636
2021-06-17 07:55:00,7.30852
2021-06-17 08:55:00,7.35688
2021-06-17 09:55:00,7.40314
2021-06-17 10:55:00,7.42744
2021-06-17 11:55:00,7.4527
2021-06-17 12:55:00,7.46466
2021-06-17 13:55:00,7.48089
2021-06-17 14:55:00,7.46631
2021-06-17 15:55:00,7.44161
2021-06-17 16:55:00,7.41034
2021-06-17 17:55:00,7.36994
2021-06-17 18:55:00,7.3254
2021-06-17 19:55:00,7.27734
2021-06-17 20:55:00,7.22753
2021-06-17 21:55:00,7.19766
2021-06-17 22:55:00,7.20402
2021-06-18 00:53:00,7.1735
2021-06-18 01:53:00,7.1802
2021-06-18 02:53:00,7.17344
2021-06-18 03:53:00,7.17973
2021-06-18 04:53:00,7.19377
2021-06-18 05:53:00,7.20551
2021-06-18 06:53:00,7.24276
2021-06-18 07:53:00,7.29423
2021-06-18 08:53:00,7.3171
2021-06-18 09:53:00,7.3643
2021-06-18 10:53:00,7.38044
2021-06-18 11:53:00,7.36565
2021-06-18 12:53:00,7.3799
2021-06-18 13:53:00,7.39083
2021-06-18 14:53:00,7.36909
2021-06-18 15:53:00,7.36726
2021-06-18 16:53:00,7.35252
2021-06-18 17:53:00,7.32006
2021-06-18 18:53:00,7.29899
2021-06-18 19:53:00,7.22637
2021-06-18 20:53:00,7.21607
2021-06-18 21:53:00,7.20751
2021-06-18 22:53:00,7.1886
2021-06-18 23:53:00,7.19563
2021-06-19 00:53:00,7.19931
2021-06-19 01:53:00,7.20099
2021-06-19 02:53:00,7.21285
2021-06-19 03:53:00,7.21772
2021-06-19 04:53:00,7.20572
2021-06-19 05:53:00,7.21825
2021-06-19 06:53:00,7.24107
2021-06-19 07:53:00,7.25441
2021-06-19 08:53:00,7.26298
2021-06-19 09:53:00,7.2987
2021-06-19 10:53:00,7.33204
2021-06-19 11:53:00,7.32491
2021-06-19 12:53:00,7.35908
2021-06-19 13:53:00,7.37345
2021-06-19 14:53:00,7.37002
2021-06-19 15:53:00,7.35343
2021-06-19 16:53:00,7.33753
2021-06-19 17:53:00,7.29976
2021-06-19 18:53:00,7.25717
2021-06-19 19:53:00,7.22202
2021-06-19 20:53:00,7.19764
2021-06-19 21:53:00,7.18883
2021-06-19 22:53:00,7.18193
2021-06-19 23:53:00,7.20051
2021-06-20 00:53:00,7.1869
2021-06-20 01:53:00,7.1904
2021-06-20 02:53:00,7.18736
2021-06-20 03:53:00,7.18221
2021-06-20 04:53:00,7.17041
2021-06-20 05:53:00,7.17189
2021-06-20 06:53:00,7.19255
2021-06-20 07:53:00,7.22934
2021-06-20 08:53:00,7.23788
2021-06-20 09:53:00,7.26008
2021-06-20 10:53:00,7.2821
2021-06-20 11:53:00,7.29099
2021-06-20 12:53:00,7.31133
2021-06-20 13:53:00,7.32116
2021-06-20 14:53:00,7.32328
2021-06-20 15:53:00,7.2904
2021-06-20 16:53:00,7.2861
2021-06-20 17:53:00,7.24212
2021-06-20 18:53:00,7.20992
2021-06-20 19:53:00,7.17831
2021-06-20 20:53:00,7.16476
2021-06-20 21:53:00,7.15409
2021-06-20 22:53:00,7.14686
2021-06-20 23:53:00,7.14696
2021-06-21 00:53:00,7.1445
2021-06-21 01:53:00,7.14394
2021-06-21 02:53:00,7.14698
2021-06-21 03:53:00,7.15015
2021-06-21 04:53:00,7.14264
2021-06-21 05:53:00,7.15326
2021-06-21 06:53:00,7.18056
2021-06-21 07:53:00,7.2115
2021-06-21 08:53:00,7.24349
2021-06-21 09:53:00,7.28417
2021-06-21 10:53:00,7.29398
2021-06-21 11:53:00,7.30437
2021-06-21 12:53:00,7.30302
2021-06-21 13:53:00,7.30943
2021-06-21 14:53:00,7.32427
2021-06-21 15:53:00,7.31649
2021-06-21 16:53:00,7.29094
2021-06-21 17:53:00,7.26665
2021-06-21 18:53:00,7.23806
2021-06-21 19:53:00,7.1987
2021-06-21 20:53:00,7.18711
2021-06-21 21:53:00,7.1858
2021-06-21 22:53:00,7.18525
2021-06-21 23:53:00,7.18462
2021-06-22 00:53:00,7.18994
2021-06-22 01:53:00,7.20886
2021-06-22 02:53:00,7.18244
2021-06-22 03:53:00,7.19001
2021-06-22 04:53:00,7.16823
2021-06-22 05:53:00,7.17421
2021-06-22 06:53:00,7.19384
2021-06-22 07:53:00,7.21608
2021-06-22 08:53:00,7.2201
2021-06-22 09:53:00,7.26447
2021-06-22 10:53:00,7.30245
2021-06-22 11:53:00,7.29795
2021-06-22 12:53:00,7.32109
2021-06-22 13:53:00,7.33083
2021-06-22 14:53:00,7.33123
2021-06-22 15:53:00,7.32423
2021-06-22 16:53:00,7.29794
2021-06-22 17:53:00,7.26203
2021-06-22 18:53:00,7.23447
2021-06-22 19:53:00,7.2101
2021-06-22 20:53:00,7.18621
2021-06-22 21:53:00,7.1873
2021-06-22 22:53:00,7.19358
2021-06-22 23:53:00,7.19268
2021-06-23 00:53:00,7.18725
2021-06-23 01:53:00,7.1816
2021-06-23 02:53:00,7.17901
2021-06-23 03:53:00,7.17575
2021-06-23 04:53:00,7.16344
2021-06-23 05:53:00,7.16101
2021-06-23 06:53:00,7.1799
2021-06-23 09:18:00,7.22131
2021-06-23 10:18:00,7.2372
2021-06-23 11:18:00,7.26196
2021-06-23 12:18:00,7.27823
2021-06-23 13:18:00,7.30441
2021-06-23 14:18:00,7.29847
2021-06-23 15:18:00,7.27293
2021-06-23 16:18:00,7.26002
2021-06-23 17:18:00,7.2453
2021-06-23 18:18:00,7.22212
2021-06-23 19:18:00,7.19239
2021-06-23 20:18:00,7.1693
2021-06-23 21:18:00,7.15718
2021-06-23 22:18:00,7.13877
2021-06-23 23:18:00,7.13881
2021-06-24 00:18:00,7.13999
2021-06-24 01:18:00,7.13604
2021-06-24 02:18:00,7.13851
2021-06-24 03:18:00,7.14265
2021-06-24 04:18:00,7.14362
2021-06-24 05:18:00,7.14375
2021-06-24 06:18:00,7.15769
2021-06-24 07:18:00,7.18995
2021-06-24 08:18:00,7.21188
2021-06-24 09:18:00,7.24879
2021-06-24 10:18:00,7.23511
2021-06-24 11:18:00,7.27048
2021-06-24 12:18:00,7.28811
2021-06-24 13:18:00,7.31499
2021-06-24 14:18:00,7.31732
2021-06-24 15:18:00,7.30186
2021-06-24 16:18:00,7.28537
2021-06-24 17:18:00,7.24897
2021-06-24 18:18:00,7.22659
2021-06-24 19:18:00,7.20105
2021-06-24 20:18:00,7.17509
2021-06-24 21:18:00,7.15503
2021-06-24 22:18:00,7.14757
2021-06-24 23:18:00,7.13818
2021-06-25 00:18:00,7.14153
2021-06-25 01:18:00,7.14787
2021-06-25 02:18:00,7.14153
2021-06-25 03:18:00,7.14697
2021-06-25 04:18:00,7.14548
2021-06-25 05:18:00,7.13931
2021-06-25 06:18:00,7.17265
2021-06-25 07:18:00,7.19622
2021-06-25 08:18:00,7.22109
2021-06-25 09:18:00,7.25502
2021-06-25 10:18:00,7.27232
2021-06-25 11:18:00,7.30159
2021-06-25 12:18:00,7.29536
2021-06-25 13:18:00,7.29179
2021-06-25 14:18:00,7.30602
2021-06-25 15:18:00,7.31751
2021-06-25 16:18:00,7.31598
2021-06-25 17:18:00,7.30638
2021-06-25 18:18:00,7.28603
2021-06-25 19:18:00,7.24244
2021-06-25 20:18:00,7.21759
2021-06-25 21:18:00,7.19769
2021-06-25 22:18:00,7.18858
2021-06-25 23:18:00,7.17756
2021-06-26 00:18:00,7.18268
2021-06-26 01:18:00,7.16919
2021-06-26 02:18:00,7.16845
2021-06-26 03:18:00,7.16707
2021-06-26 04:18:00,7.16694
2021-06-26 05:18:00,7.1786
